id,sku,price
5.68E+13,KD04924,1.69
5.68E+13,KD04925,1.35
5.68E+13,9802_GHOST,0.21
5.68E+13,1373286,2.79
5.68E+13,KD30955,2.75
5.68E+13,KD30328,0.75
5.68E+13,KD12446,0.72
5.68E+13,KD31200,1.09
5.68E+13,KD27332,0.65
5.68E+13,KD27334,0.63
5.68E+13,KD23231,0.45
5.68E+13,KD31164,0.89
5.68E+13,KD25739,3.75
5.68E+13,KD30186,3.19
5.68E+13,KD29522,0.59
5.68E+13,T9628,0.7
5.68E+13,4357GOLDBOR,0.55
5.68E+13,KD33589,10.49
5.68E+13,KD13644,0.55
5.68E+13,KD32232,1.19
5.68E+13,KD32188,1.19
5.68E+13,KD25709,3.15
5.68E+13,1373132,0.81
5.68E+13,KD30617,0.89
5.68E+13,KD31834,0.99
5.68E+13,KD31571,0.65
5.68E+13,KD27791,2.19
5.68E+13,KD16890,1.59
5.68E+13,98074G,0.39
5.68E+13,HTI1372493,3.15
5.68E+13,HTI1372491,3.59
5.68E+13,TA5762,0.42
5.68E+13,KD23623,1.04
5.68E+13,KD16040,0.65
5.68E+13,KD00744,3.22
5.68E+13,KD24055,2.25
5.68E+13,KD30400,0.79
5.68E+13,KD00734,0.62
5.68E+13,KD04944,2.35
5.68E+13,59303,0.59
5.68E+13,T6365,0.7
5.68E+13,KD29226,0.85
5.68E+13,KD30190,0.79
5.68E+13,KD30194,1.59
5.68E+13,KD28447,2.29
5.68E+13,KD23598,2.09
5.68E+13,KD28443,1.49
5.68E+13,KD22433,1.59
5.68E+13,KD31347,2.29
5.68E+13,KD25884,2.25
5.68E+13,KD28442,3.79
5.68E+13,KD28446,2.29
5.68E+13,KD28445,2.09
5.68E+13,KD30191,0.99
5.68E+13,KD28444,2.99
5.68E+13,KD32381,1.79
5.68E+13,KD29227,1.09
5.68E+13,KD28452,3.09
5.68E+13,KD25885,2.25
5.68E+13,KD21874,0.79
5.68E+13,TY7649,0.65
5.68E+13,KD17578,0.99
5.68E+13,KD31889,1.99
5.68E+13,KD32111,3.99
5.68E+13,KD00818,0.62
5.68E+13,KD20535,1.25
5.68E+13,KD19072,0.79
5.68E+13,KD17577,1.49
5.68E+13,KD33592,14.69
5.68E+13,KD00791,2.99
5.68E+13,KD04740,9.75
5.68E+13,TY4307,0.89
5.68E+13,TY6106,0.88
5.68E+13,KD28508,0.69
5.68E+13,KD28507,0.69
5.68E+13,8010,0.69
5.68E+13,KD14160,0.4
5.68E+13,KD31800,4.55
5.68E+13,KD29592,2.05
5.68E+13,KD31441,1.49
5.68E+13,KD29541,1.65
5.68E+13,KD29472,0.45
5.68E+13,KD26833,0.77
5.68E+13,KD26831,3.99
5.68E+13,KD29173,3.09
5.68E+13,KD26832,1.15
5.68E+13,KD31261,1.39
5.68E+13,KD21343,0.92
5.68E+13,KD31250,0.89
5.68E+13,KD21383,2.59
5.68E+13,KD24056,0.79
5.68E+13,KD31247,1.75
5.68E+13,KD00808,1.35
5.68E+13,KD24046,0.82
5.68E+13,KD23868,2.15
5.68E+13,KD24045,1.79
5.68E+13,KD23867,0.89
5.68E+13,KD24057,1.65
5.68E+13,KD21340,2.99
5.68E+13,KD21341,1.65
5.68E+13,TY499,3.89
5.68E+13,KD21327,5.29
5.68E+13,KD29576,4.99
5.68E+13,KD04720,3.09
5.68E+13,KD30944,3.35
5.68E+13,KD30953,3.75
5.68E+13,KD30954,3.29
5.68E+13,KD33474,3.75
5.68E+13,KD23120,0.95
5.68E+13,KD22715,1.63
